map_type,K,seed,algo,num_bots,is_hybrid,tour_len,plan_time_ms,initial_quality,improvement_pct,theoretical_makespan,collision_makespan,collision_count,total_wait_time,max_wait_time,avg_wait_time,exec_time_s,waits_s,replan_count,success
wide,10,0,HybridNN2opt,3,1,85.0,1.05,24.0,,31.0,10.0,1,0.2,0.2,0.2,,,,1
wide,10,0,GA,3,0,89.0,29.11,,,34.0,10.0,2,0.6,0.4,0.3,,,,1
wide,10,1,NN2opt,3,0,88.0,1.75,47.0,,47.0,12.0,2,0.6,0.4,0.3,,,,1
wide,10,1,HybridNN2opt,3,1,79.0,1.41,47.0,10.64,42.0,12.0,0,0.0,0.0,0.0,,,,1
wide,10,1,GA,3,0,87.0,29.47,,,46.0,12.0,2,0.6,0.4,0.3,,,,1
wide,10,2,NN2opt,3,0,118.0,1.08,41.0,,46.0,11.8,3,0.8,0.4,0.267,,,,1
wide,10,2,HybridNN2opt,3,1,96.0,1.09,41.0,21.95,33.0,12.6,1,0.2,0.2,0.2,,,,1
wide,10,2,GA,3,0,113.0,29.38,,,41.0,11.8,4,1.0,0.4,0.25,,,,1
wide,10,3,NN2opt,3,0,113.0,1.28,23.0,,51.0,13.2,3,0.8,0.4,0.267,,,,1
wide,10,3,HybridNN2opt,3,1,107.0,1.31,23.0,8.7,47.0,12.8,1,0.2,0.2,0.2,,,,1
wide,10,3,GA,3,0,113.0,28.48,,,51.0,13.2,3,0.8,0.4,0.267,,,,1
wide,10,4,NN2opt,3,0,75.0,1.02,35.0,,35.0,9.2,2,0.6,0.4,0.3,,,,1
wide,10,4,HybridNN2opt,3,1,75.0,1.09,35.0,,35.0,9.2,2,0.6,0.4,0.3,,,,1
wide,10,4,GA,3,0,75.0,28.99,,,35.0,9.2,2,0.6,0.4,0.3,,,,1
wide,15,0,NN2opt,3,0,111.0,2.56,24.0,,54.0,14.4,3,0.8,0.4,0.267,,,,1
wide,15,0,HybridNN2opt,3,1,106.0,2.54,24.0,,49.0,14.4,0,0.0,0.0,0.0,,,,1
wide,15,0,GA,3,0,120.0,33.5,,,60.0,14.8,2,0.6,0.4,0.3,,,,1
wide,15,1,NN2opt,3,0,157.0,2.83,58.0,,58.0,14.6,3,0.8,0.4,0.267,,,,1
wide,15,1,HybridNN2opt,3,1,155.0,2.88,58.0,1.72,57.0,14.4,0,0.0,0.0,0.0,,,,1
wide,15,1,GA,3,0,150.0,33.68,,,58.0,14.4,2,0.6,0.4,0.3,,,,1
wide,15,2,NN2opt,3,0,157.0,2.9,47.0,,57.0,14.6,3,0.8,0.4,0.267,,,,1
wide,15,2,HybridNN2opt,3,1,134.0,2.98,47.0,10.64,48.0,15.6,3,0.6,0.2,0.2,,,,1
wide,15,2,GA,3,0,153.0,33.67,,,55.0,14.6,2,0.6,0.4,0.3,,,,1
wide,15,3,NN2opt,3,0,152.0,3.04,37.0,16.22,64.0,16.4,3,0.8,0.4,0.267,,,,1
wide,15,3,HybridNN2opt,3,1,142.0,3.05,37.0,18.92,63.0,16.0,1,0.2,0.2,0.2,,,,1
wide,15,3,GA,3,0,152.0,33.77,,,64.0,16.4,3,0.8,0.4,0.267,,,,1
wide,15,4,NN2opt,3,0,140.0,1.93,47.0,,50.0,12.4,3,0.8,0.4,0.267,,,,1
wide,15,4,HybridNN2opt,3,1,132.0,1.94,47.0,,50.0,12.2,2,0.4,0.2,0.2,,,,1
wide,15,4,GA,3,0,136.0,32.94,,,47.0,12.4,2,0.6,0.4,0.3,,,,1
